SN,Site Name,Connection Type,Service No.,Account Number,WAN IP,NW ID,LAN Address (Router IP),ATM IP,LoopBack (Router-id),Tunnel IP DR-ER116,Tunnel IP DR-ER126,Tunnel IP DC-ER316,Tunnel IP DC-ER416,Tunnel IP DR-ER11,Tunnel IP DR-ER12,Tunnel IP DC-ER21,Tunnel IP DC-ER22
1,Hawassa High Court,ADSL,86100015576,,10.138.203.252,10.208.14.136,10.208.14.137,10.208.14.138,10.209.2.152,10.220.240.200,10.220.244.200,10.220.248.200,10.220.252.200,,,,
2,Gezahegn & Elifinesh Resort,ADSL,32100018512,,10.138.203.196,10.208.14.176,10.208.14.177,10.208.14.178,10.209.2.164,10.220.240.202,10.220.244.202,10.220.248.202,10.220.252.202,,,,
3,HIP_custom_Office=ATM3 & ATM 4,ADSL,28100049818,,10.138.213.164,10.208.14.192,10.208.14.193,10.208.14.194 / 10.208.14.195,10.209.2.192,10.220.240.206,10.220.244.206,10.220.248.206,10.220.252.206,,,,
4,HIP_Shade_15,ADSL,22100057102,,10.138.205.252,10.208.14.208,10.208.14.209,10.208.14.210,10.209.2.219,10.220.240.209,10.220.244.209,10.220.248.209,10.220.252.209,,,,
5,HIP_Shade_21/22,ADSL,70100044370,,10.138.205.132,10.208.14.184,10.208.14.185,10.208.14.186,10.209.2.189,10.220.240.207,10.220.244.207,10.220.248.207,10.220.252.207,,,,
6,HIP_Shade_33,ADSL,49100057489,,10.138.208.4,10.208.14.200,10.208.14.201,10.208.14.202,10.209.2.218,10.220.240.208,10.220.244.208,10.220.248.208,10.220.252.208,,,,
7,Hawassa_UNIV_Referral,ADSL,9990016358,32005525,10.138.195.180,10.208.14.24,10.208.14.25,10.208.14.26,10.209.0.100,10.220.240.210,10.220.244.210,10.220.248.210,10.220.252.210,,,,
8,Hawassa_UNIV_Staff complex,ADSL,9990015988,32005493,10.138.195.140,10.208.14.8,10.208.14.9,10.208.14.10,10.209.0.99,10.220.240.201,10.220.244.201,10.220.248.201,10.220.252.201,,,,
9,SNNPR Resemestedadir,ADSL,9990063315,45501071,10.138.198.212,10.208.14.64,10.208.14.65,10.208.14.66,10.209.0.180,10.220.240.197,10.220.244.197,10.220.248.197,10.220.252.197,,,,
10,South Star Hotel,ADSL,9990037263,2878311,10.138.197.60/10.138.213.52,10.208.14.40,10.208.14.41,10.208.14.42,10.209.0.171,10.220.240.211,10.220.244.211,10.220.248.211,10.220.252.211,,,,
11,Toga Camp,ADSL,71100044371,,10.137.204.172,10.112.246.0,10.112.246.1,10.112.246.2,10.112.246.225,,,,,10.220.144.99,10.220.148.99,10.220.152.99,10.220.156.99
12,HIP_Shade_38,ADSL,61100084781,,10.138.209.116,10.113.18.0,10.113.18.1,10.113.18.9,10.113.18.225,,,,,10.220.144.117,10.220.148.117,10.220.152.117,10.220.156.117
13,Hawassa_UNIV_Techno_Campus,ADSL,92100062392,,10.138.209.132,10.112.121.0,10.112.121.1,10.112.121.9,10.112.121.225,,,,,10.220.144.63,10.220.148.63,10.220.152.63,10.220.156.63
14,Heron_Hotel_Hawassa,ADSL,59100094779,,10.138.210.20,10.208.14.224,10.208.14.225,10.208.14.226,10.209.3.31,10.220.241.48,10.220.245.48,10.220.249.48,10.220.253.48,,,,
15,LEWI_Resort_Hawassa,ADSL,61100094781,,10.138.210.4,10.208.14.144,10.208.14.145,10.208.14.146,"10.209.3.106
","10.220.241.128
","10.220.245.128
","10.220.249.128
","10.220.253.128
",,,,
16,Central_Hotel_Hawassa,ADSL,58100094778,,10.138.210.12,10.208.14.152,10.208.14.153,10.208.14.154,10.209.3.107,10.220.241.129,10.220.245.129,10.220.249.129,10.220.253.129,,,,
17,Yirgalem_Awada_Campus,ADSL,94100139094,,10.147.209.204,10.208.14.248,10.208.14.249,10.208.14.250,10.209.3.99,10.220.241.119,10.220.245.119,10.220.249.119,10.220.253.119,,,,
18,HIP_Shade_49,ADSL,84100147274,644175814,10.138.211.124,10.208.14.160,10.208.14.161,10.208.14.162,"10.209.3.115
",10.220.241.137,10.220.245.137,10.220.249.137,10.220.253.137,,,,
19,HIP_Shade_37,ADSL,14100150154,,10.138.211.140,10.208.14.168,10.208.14.169,10.208.14.170,"
10.209.3.118
",10.220.241.140,10.220.245.140,10.220.249.140,10.220.253.140,,,,
20,HIP_Shade_17,ADSL,13100150153,,10.138.211.156,10.208.22.32,10.208.22.33,10.208.22.34,10.209.3.119,10.220.241.141,10.220.245.141,10.220.249.141,10.220.253.141,,,,
21,HIP_Shade_9,ADSL,44100153054,,10.138.211.164,"10.208.22.144
","10.208.22.145
","10.208.22.146
","10.209.3.133
",10.220.241.156,10.220.245.156,10.220.249.156,10.220.253.156,,,,
22,HIP_Shade_31_ATM12,ADSL,1.0011E+12,644175814,10.138.212.116,10.208.24.48,10.208.24.49,10.208.24.50,10.209.3.185,10.220.241.209,10.220.245.209,10.220.249.209,10.220.253.209,,,,
23,Rori_Hotel_Hawassa,ADSL,69100179159,,10.138.212.108,10.208.24.200,10.208.24.201,10.208.24.202,10.209.3.204,10.220.241.228,10.220.245.228,10.220.249.228,10.220.253.228,,,,
24,Bilate ATM,Fiber,9.99993E+11,26315712,10.146.246.44,10.208.27.224,10.208.27.225,10.208.27.226,10.209.4.49,10.220.242.81,10.220.246.81,10.220.250.81,10.220.254.81,,,,
25,Yanet Hospital,ADSL,84101382385,,10.138.222.228,10.208.30.112,10.208.30.113,10.208.30.114,10.209.4.131,10.220.242.165,10.220.246.165,10.220.250.165,10.220.254.165,,,,
26,Hawassa City Administration,ADSL,85101382386,,10.138.222.236,10.208.30.8,10.208.30.9,10.208.30.10,10.209.4.118,10.220.242.152,10.220.246.152,10.220.250.152,10.220.254.152,,,,
27,Yirgalem Fura Institute,ADSL,87101382388,,10.147.224.212,10.208.30.120,10.208.30.121,10.208.30.122,10.209.4.132,10.220.242.166,10.220.246.166,10.220.250.166,10.220.254.166,,,,
28,Lewi Campus Hotel ,ADSL,86101382387,,10.138.222.220,10.208.30.136,10.208.30.137,10.208.30.138,10.209.4.134,10.220.242.168,10.220.246.168,10.220.250.168,10.220.254.168,,,,
29,Hawassa Addisu maremiya,ADSL,19101780530,,10.138.227.140,10.208.32.144,10.208.32.145,10.208.32.146,10.209.4.199,10.220.242.233,10.220.246.233,10.220.250.233,10.220.254.233,,,,
30,Hussien city center,ADSL,18101780529,,10.138.227.108,10.208.32.152,10.208.32.153,10.208.32.154,10.209.4.200,10.220.242.234,10.220.246.234,10.220.250.234,10.220.254.234,,,,
31,Hawassa Air port,ADSL,30101780541,,10.138.227.116,10.208.32.160,10.208.32.161,10.208.32.162,10.209.4.201,10.220.242.235,10.220.246.235,10.220.250.235,10.220.254.235,,,,
32,Yanet Hospital  referral circil,ADSL,17101780528,,10.138.227.148,10.208.32.168,10.208.32.169,10.208.32.170,10.209.4.202,10.220.242.236,10.220.246.236,10.220.250.236,10.220.254.236,,,,
33,Enkutatash ATM,ADSL,94101793835,,10.138.227.196,10.208.33.104,10.208.33.105,10.208.33.106,10.209.4.226,10.220.243.6,10.220.247.6,10.220.251.6,10.220.255.6,,,,
34,Alation Hospital ATM,ADSL,95101793836,,10.138.227.188,10.208.33.95,10.208.33.97,10.208.33.98,10.209.4.225,10.220.243.5,10.220.247.5,10.220.251.5,10.220.255.5,,,,
